Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length,Losses/Value Loss,Losses/Policy Loss
113000,0.008523171,0.00013125082,97.60427,None,None,None,0.14149314,0.05904579
114000,0.01347336,0.00012975081,97.86635,None,None,None,0.17458287,0.07191448
115000,0.008154276,0.0001282508,97.707375,None,None,None,0.2216995,0.0704871
116000,0.012079897,0.00012675082,97.73052,4915.644452412923,4915.644444331527,4921.0,43.58609,0.07683386
117000,0.008684972,0.00012525082,97.65262,None,None,None,0.35991126,0.06407624
118000,0.009776754,0.00012375083,97.7387,None,None,None,0.16787136,0.06571561
119000,0.0125509715,0.00012225083,97.947174,None,None,None,0.20555039,0.067608155
120000,0.008107903,0.00012075083,97.81962,None,None,None,0.17673089,0.065794684
121000,0.012524933,0.00011925083,97.82175,4898.41111585829,4898.411110974848,4921.0,60.648727,0.06700161
122000,0.011295261,0.000117750824,97.56998,None,None,None,0.24627557,0.075652234
123000,0.011889921,0.00011625083,97.74758,None,None,None,0.14441767,0.07120499
124000,0.012135649,0.00011475082,97.823425,None,None,None,0.5105359,0.069953494
125000,0.010695184,0.000113250826,97.66147,None,None,None,0.16961946,0.06886343
126000,0.01114752,0.00011175084,97.514786,4902.6888909339905,4902.688888758421,4921.0,44.697544,0.069782116
127000,0.009902153,0.00011025083,97.68731,None,None,None,0.1499412,0.0698199
128000,0.014174116,0.000108750835,97.7948,None,None,None,0.17552222,0.068662815
129000,0.0054000746,0.000107250824,97.869965,None,None,None,0.15824142,0.0654965
130000,0.010639561,0.000105750834,97.860435,None,None,None,0.17968294,0.06494488
131000,0.012909244,0.00010425083,97.83297,4918.944447835286,4918.944444335997,4921.0,58.97725,0.077130266
132000,0.007908595,0.00010275084,97.9512,None,None,None,0.13728084,0.072540104
133000,0.013525457,0.00010125084,98.00999,None,None,None,0.17306155,0.07622769
134000,0.0084183,9.975083e-05,97.542564,None,None,None,0.2943481,0.0707253
135000,0.01308627,9.8250835e-05,97.68375,None,None,None,0.16030903,0.07319461
136000,0.011885925,9.6750824e-05,97.828766,4908.555561489529,4908.555555433035,4921.0,44.646606,0.068112046
137000,0.0078213215,9.525083e-05,97.92647,None,None,None,0.16082063,0.066148505
138000,0.013542797,9.375084e-05,98.07573,None,None,None,0.17469114,0.065087125
139000,0.008336357,9.225084e-05,98.04363,None,None,None,0.17222697,0.06653518
140000,0.011265548,9.0750844e-05,97.94534,None,None,None,0.29213336,0.083109096
141000,0.00861739,8.925083e-05,98.04636,4912.100004408095,4912.099999882281,4921.0,59.216305,0.06931902
142000,0.008189263,8.7750836e-05,97.97861,None,None,None,0.16215423,0.07011898
143000,0.010535762,8.625083e-05,97.90133,None,None,None,0.3633643,0.0676007
144000,0.009605713,8.4750835e-05,97.59189,None,None,None,0.19573927,0.06339391
145000,0.011471004,8.325084e-05,97.63597,None,None,None,0.122650295,0.070756376
146000,0.009193773,8.175084e-05,96.817,4896.455554114447,4896.455555416644,4921.0,44.73103,0.07086556
147000,0.012980871,8.0250844e-05,97.26364,None,None,None,0.23616746,0.071262665
148000,0.0066260984,7.875083e-05,97.31143,None,None,None,0.25984138,0.07030491
149000,0.011594483,7.7250836e-05,97.27176,None,None,None,0.13997495,0.071603455
150000,0.011101045,7.5750846e-05,97.647255,None,None,None,0.16130076,0.07355155
151000,0.0074368836,7.4250835e-05,97.68985,4914.1777911716035,4914.177777662873,4921.0,58.424725,0.06654058
152000,0.01477,7.275084e-05,97.80013,None,None,None,0.2531014,0.063219965
153000,0.0056506796,7.125084e-05,97.59583,None,None,None,0.24149464,0.06708111
154000,0.013343589,6.9750844e-05,97.66786,None,None,None,0.12434709,0.06720156
155000,0.008410822,6.825084e-05,97.82623,None,None,None,0.1557855,0.06920619
156000,0.007393256,6.675085e-05,97.95126,4917.233336978488,4917.233333222568,4921.0,44.563416,0.07548483
157000,0.013819582,6.5250846e-05,98.18113,None,None,None,0.23676261,0.069614045
158000,0.0062284647,6.375084e-05,97.83941,None,None,None,0.25250572,0.06763614
159000,0.011285789,6.2250845e-05,97.79036,None,None,None,0.13506916,0.06596776
160000,0.009702979,6.075084e-05,98.09383,None,None,None,0.147056,0.06670433
161000,0.010857359,5.925084e-05,98.22691,4906.7222239176435,4906.722222097218,4921.0,59.08414,0.075620055
162000,0.010484854,5.775084e-05,98.30596,None,None,None,0.23946898,0.07571601
163000,0.0100392345,5.625084e-05,98.18734,None,None,None,0.15666512,0.06576886
164000,0.011223719,5.475084e-05,98.17721,None,None,None,0.096275166,0.07161966
165000,0.008784655,5.3250842e-05,98.185265,None,None,None,0.14836466,0.06479183
166000,0.013312664,5.175084e-05,98.37375,4916.377783033583,4916.3777776658535,4921.0,45.641247,0.07214175
167000,0.0054267873,5.0250845e-05,98.24117,None,None,None,0.21949203,0.06440244
168000,0.0110424515,4.8750844e-05,98.12254,None,None,None,0.116157636,0.07635423
169000,0.010983385,4.7250844e-05,98.18409,None,None,None,0.14631267,0.07349155
170000,0.008493416,4.5750843e-05,98.2732,None,None,None,0.14101258,0.060353782
171000,0.013776854,4.4250846e-05,98.15078,4912.466671837701,4912.466666549444,4921.0,60.591568,0.07105637
172000,0.0065865368,4.2750842e-05,98.348915,None,None,None,0.18927574,0.0625774
173000,0.012602078,4.125085e-05,98.095894,None,None,None,0.13375373,0.06992827
174000,0.009165636,3.9750845e-05,98.106445,None,None,None,0.13131425,0.063419655
175000,0.007058162,3.8250844e-05,98.17997,None,None,None,0.12839267,0.06851044
