Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
152000,1.2046422,-0.2949785,499.0,-2.1974999010562897,-2.1974999010562897,1.0
153000,1.2228099,-0.12114389,None,None,None,1.0
154000,1.1869667,-0.41616577,499.0,2.262499874457717,2.262499874457717,1.0
155000,1.157437,-0.7297564,None,None,None,1.0
156000,1.0894461,-0.6693455,499.0,-0.3337500970810652,-0.3337500970810652,1.0
157000,1.1602156,-0.41823062,None,None,None,1.0
158000,1.1536797,-0.3328608,499.0,0.8799997940659523,0.8799997940659523,1.0
159000,1.1278172,-0.21557468,None,None,None,1.0
160000,1.1629144,-0.087591946,499.0,2.7949998043477535,2.7949998043477535,1.0
161000,1.2189811,-0.4896435,None,None,None,1.0
162000,1.183116,-0.59378433,499.0,0.35749994590878487,0.35749994590878487,1.0
163000,1.2128121,-1.140027,None,None,None,1.0
164000,1.1257092,-1.1458566,499.0,-5.1949996473267674,-5.1949996473267674,1.0
165000,1.0879457,-0.4672465,None,None,None,1.0
166000,1.0760884,-0.09200937,499.0,1.9999997168779373,1.9999997168779373,1.0
167000,1.1049753,-0.11588551,None,None,None,1.0
168000,1.0989888,-0.056678858,499.0,2.4337497130036354,2.4337497130036354,1.0
169000,1.1118059,0.077103436,None,None,None,1.0
170000,1.0989765,-0.17037004,499.0,-0.6687500774860382,-0.6687500774860382,1.0
171000,1.1084478,-0.08176346,None,None,None,1.0
172000,1.1563013,-0.09341171,499.0,5.017499588429928,5.017499588429928,1.0
173000,1.2298871,-0.5617084,None,None,None,1.0
174000,1.1503316,-0.37697792,499.0,-2.0462498869746923,-2.0462498869746923,1.0
175000,1.1007332,-0.0010549165,None,None,None,1.0
176000,1.1174508,-0.02398787,499.0,6.517499538138509,6.517499538138509,1.0
177000,1.2118261,-0.20182315,None,None,None,1.0
178000,1.1076037,-0.34095648,499.0,3.8562497310340405,3.8562497310340405,1.0
179000,1.0937755,-0.2445077,None,None,None,1.0
180000,1.0923765,-0.034539606,514.0,-1.0487499982118607,-1.0487499982118607,1.0
181000,1.1475133,0.018782727,None,None,None,1.0
182000,1.0599524,-0.038214482,499.0,2.5212498120963573,2.5212498120963573,1.0
183000,1.0359384,0.073364414,None,None,None,1.0
184000,1.0062321,-0.034003668,499.0,4.063749700784683,4.063749700784683,1.0
185000,1.0648571,-0.48985887,499.0,None,None,1.0
186000,1.0234305,-0.34953043,499.0,-2.394999940879643,-2.394999940879643,1.0
187000,1.0381719,-0.3221213,None,None,None,1.0
188000,1.0732374,-0.3676688,499.0,2.791249744594097,2.791249744594097,1.0
189000,1.185487,-0.59536517,None,None,None,1.0
190000,1.14118,-0.6988691,499.0,-3.7562497961334884,-3.7562497961334884,1.0
191000,1.0688803,-0.7186646,None,None,None,1.0
192000,1.009031,-0.3996579,499.0,-6.874999642372131,-6.874999642372131,1.0
193000,1.0522683,-0.43064374,None,None,None,1.0
194000,1.0178089,-0.12914906,499.0,-0.8674999475479126,-0.8674999475479126,1.0
195000,1.0887891,0.23647983,499.0,None,None,1.0
196000,1.0509307,-0.061426632,499.0,5.93999957293272,5.93999957293272,1.0
197000,1.0673672,-0.55621755,None,None,None,1.0
198000,1.0263603,-0.3710829,499.0,2.2174997869879007,2.2174997869879007,1.0
199000,1.0813679,0.04463725,None,None,None,1.0
200000,1.0578839,0.007724121,499.0,5.018749565817416,5.018749565817416,1.0
201000,0.9847078,-0.19184455,None,None,None,1.0
202000,0.9845534,-0.14781599,499.0,-1.1025000512599945,-1.1025000512599945,1.0
203000,1.0760154,-0.013445485,None,None,None,1.0
204000,1.063049,-0.0512386,499.0,1.0374998524785042,1.0374998524785042,1.0
205000,1.1266377,-0.45795134,None,None,None,1.0
206000,1.1582464,-0.42921716,499.0,-1.6537499409168959,-1.6537499409168959,1.0
207000,1.0834395,0.16147113,None,None,None,1.0
208000,0.96885884,0.16032964,499.0,0.39749992615543306,0.39749992615543306,1.0
209000,1.0310405,0.0627028,None,None,None,1.0
210000,1.0076462,0.029454581,499.0,-0.7937500588595867,-0.7937500588595867,1.0
211000,0.98835844,0.023393191,None,None,None,1.0
212000,0.97345746,-0.010102116,499.0,3.7687497083097696,3.7687497083097696,1.0
213000,0.9275947,0.18999824,None,None,None,1.0
214000,0.9835134,0.02170737,499.0,5.113749518990517,5.113749518990517,1.0
215000,0.9893768,-0.16754925,None,None,None,1.0
216000,0.926489,-0.058134057,499.0,3.7399997040629387,3.7399997040629387,1.0
217000,0.9211576,0.33313763,None,None,None,1.0
218000,0.91978794,0.54519725,499.0,4.839999616146088,4.839999616146088,1.0
219000,0.94976074,0.46334088,None,None,None,1.0
220000,0.94957936,0.43803856,499.0,4.601249612867832,4.601249612867832,1.0
221000,0.9022687,0.5230703,None,None,None,1.0
222000,0.9158053,0.596197,499.0,9.714999161660671,9.714999161660671,1.0
223000,0.9020945,0.79041743,None,None,None,1.0
224000,0.96970254,0.6478634,499.0,10.107499301433563,10.107499301433563,1.0
225000,1.0387387,0.05838494,None,None,None,1.0
226000,0.9573017,-0.07927757,499.0,3.182499673217535,3.182499673217535,1.0
227000,0.92100614,-0.1136159,None,None,None,1.0
228000,0.9412356,0.09151745,499.0,-1.030000001192093,-1.030000001192093,1.0
229000,1.0704058,0.17577076,None,None,None,1.0
230000,1.0036813,-0.21810792,499.0,-1.0787499705329537,-1.0787499705329537,1.0
231000,0.9686709,-0.08564548,None,None,None,1.0
232000,0.9562912,-0.000892587,499.0,2.4187498996034265,2.4187498996034265,1.0
233000,1.0455875,-0.24199748,None,None,None,1.0
234000,0.95059264,-0.18972284,499.0,0.4299997789785266,0.4299997789785266,1.0
235000,0.9457452,0.001833342,None,None,None,1.0
236000,0.9782208,-0.07170673,499.0,-3.1337498826906085,-3.1337498826906085,1.0
237000,0.9779934,-0.25096154,None,None,None,1.0
238000,0.84506714,-0.03714609,499.0,-0.07500000298023224,-0.07500000298023224,1.0
239000,0.82340544,0.8590667,None,None,None,1.0
240000,0.94217193,0.5820524,499.0,10.889999113976955,10.889999113976955,1.0
241000,1.0542395,0.32998657,None,None,None,1.0
242000,0.95028836,0.23715235,499.0,3.784999676980078,3.784999676980078,1.0
