Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
73000,-0.4469511,1.3583144,None,None,None,1.0
74000,-0.524722,1.3353474,499.0,-3.15249976888299,-3.15249976888299,1.0
75000,-0.8662459,1.3513595,None,None,None,1.0
76000,-0.84827566,1.3412277,499.0,-9.057499427348375,-9.057499427348375,1.0
77000,-0.5673897,1.3476737,None,None,None,1.0
78000,-0.570752,1.3367598,499.0,-5.797499725595117,-5.797499725595117,1.0
79000,-0.5623822,1.3510258,None,None,None,1.0
80000,-0.5941899,1.3384415,499.0,-5.777499631047249,-5.777499631047249,1.0
81000,-0.90908545,1.351727,None,None,None,1.0
82000,-0.88017046,1.341759,499.0,-10.929999250918627,-10.929999250918627,1.0
83000,-0.80508953,1.3461982,None,None,None,1.0
84000,-0.81629384,1.3393883,499.0,-8.822499448433518,-8.822499448433518,1.0
85000,-0.9383186,1.3550496,None,None,None,1.0
86000,-0.9040788,1.3400015,499.0,-5.287499624304473,-5.287499624304473,1.0
87000,-0.65449834,1.3436333,None,None,None,1.0
88000,-0.79491127,1.3369619,499.0,-5.2649995954707265,-5.2649995954707265,1.0
89000,-1.3021389,1.3478644,None,None,None,1.0
90000,-1.1386023,1.3423612,499.0,-11.232499286532402,-11.232499286532402,1.0
91000,-0.73485243,1.3503478,None,None,None,1.0
92000,-0.8447145,1.3338441,499.0,-8.632499400526285,-8.632499400526285,1.0
93000,-0.6822469,1.339615,None,None,None,1.0
94000,-0.5127717,1.3368434,499.0,-4.11249977722764,-4.11249977722764,1.0
95000,-0.40338767,1.3524175,None,None,None,1.0
96000,-0.58680725,1.326393,499.0,-3.50749977491796,-3.50749977491796,1.0
97000,-0.7431385,1.3485487,None,None,None,1.0
98000,-0.7860359,1.3354144,499.0,-4.734999658772722,-4.734999658772722,1.0
99000,-0.8117771,1.3571067,None,None,None,1.0
100000,-0.8069809,1.3410335,499.0,-4.222499688155949,-4.222499688155949,1.0
101000,-0.83529913,1.34908,None,None,None,1.0
102000,-0.7288153,1.3365413,499.0,-5.677499664947391,-5.677499664947391,1.0
103000,-0.5837319,1.3454698,499.0,None,None,1.0
104000,-0.4629107,1.315624,499.0,-3.4674997655674815,-3.4674997655674815,1.0
105000,-0.46606576,1.3468736,None,None,None,1.0
106000,-0.50493306,1.3269,499.0,0.5599999623373151,0.5599999623373151,1.0
107000,-0.6738968,1.3506505,None,None,None,1.0
108000,-0.79733706,1.3351651,499.0,-0.722499918192625,-0.722499918192625,1.0
109000,-0.9602603,1.3443823,None,None,None,1.0
110000,-0.8990313,1.333068,499.0,-5.949999509379268,-5.949999509379268,1.0
111000,-0.7980748,1.3370074,None,None,None,1.0
112000,-0.7839879,1.334097,499.0,-4.423749689012766,-4.423749689012766,1.0
113000,-0.40170887,1.342522,499.0,None,None,1.0
114000,-0.565449,1.3373222,499.0,-2.037499874830246,-2.037499874830246,1.0
115000,-0.87593436,1.3329687,None,None,None,1.0
116000,-0.7109494,1.3305974,499.0,-2.501249846071005,-2.501249846071005,1.0
117000,-0.39210618,1.3275481,None,None,None,1.0
118000,-0.37371308,1.3252589,499.0,0.6349999557714909,0.6349999557714909,1.0
119000,-0.28406066,1.3471018,None,None,None,1.0
120000,-0.35738254,1.3276942,499.0,0.5424999631941319,0.5424999631941319,1.0
121000,-0.64057744,1.3441267,None,None,None,1.0
122000,-0.55501056,1.3223389,499.0,-2.329999839887023,-2.329999839887023,1.0
123000,-0.43832976,1.3411449,None,None,None,1.0
124000,-0.5648417,1.307462,499.0,-1.7712499126791954,-1.7712499126791954,1.0
125000,-0.38079482,1.3091073,None,None,None,1.0
126000,-0.3402201,1.302908,499.0,1.3124998919665813,1.3124998919665813,1.0
127000,-0.47306406,1.3210406,None,None,None,1.0
128000,-0.49908364,1.308214,499.0,0.6674999482929707,0.6674999482929707,1.0
129000,-0.6438133,1.3290553,None,None,None,1.0
130000,-0.63010204,1.2929134,499.0,-1.0412499401718378,-1.0412499401718378,1.0
131000,-0.8217734,1.3250915,None,None,None,1.0
132000,-0.789068,1.3238922,499.0,-2.411249903962016,-2.411249903962016,1.0
133000,-0.67625195,1.3263779,None,None,None,1.0
134000,-0.36066628,1.2920607,499.0,-0.23124996479600668,-0.23124996479600668,1.0
135000,-0.3272745,1.3009422,None,None,None,1.0
136000,-0.25637633,1.255122,499.0,2.7449997812509537,2.7449997812509537,1.0
137000,-0.28800893,1.2820181,None,None,None,1.0
138000,-0.360474,1.2798228,499.0,0.942499928176403,0.942499928176403,1.0
139000,-0.3665307,1.2944748,None,None,None,1.0
140000,-0.3563975,1.2721004,499.0,-3.702499797567725,-3.702499797567725,1.0
141000,-0.21860534,1.2705853,None,None,None,1.0
142000,-0.2736162,1.2778498,499.0,3.6024997364729643,3.6024997364729643,1.0
143000,-0.5645397,1.3049041,None,None,None,1.0
144000,-0.73609465,1.2835463,499.0,-2.642499789595604,-2.642499789595604,1.0
145000,-0.63983893,1.2615263,None,None,None,1.0
146000,-0.40292668,1.2228701,499.0,-0.6987499333918095,-0.6987499333918095,1.0
147000,-0.2387625,1.2331384,None,None,None,1.0
148000,-0.26390827,1.2236979,499.0,1.8037498369812965,1.8037498369812965,1.0
149000,-0.30686826,1.2522871,None,None,None,1.0
150000,-0.47887155,1.2349236,499.0,1.5324999056756496,1.5324999056756496,1.0
151000,-0.45311713,1.2507334,None,None,None,1.0
152000,-0.5087834,1.2668856,499.0,-2.0837498642504215,-2.0837498642504215,1.0
153000,-0.44405562,1.2727191,None,None,None,1.0
154000,-0.42045504,1.2333667,499.0,-4.842499613761902,-4.842499613761902,1.0
