Hedge 5: X: -1.475000, Y: 0.789000, Z: -1.148000, Angle: 0 at time T: 6858513
Hedge 5: X: -1.472000, Y: 0.789000, Z: -1.152000, Angle: 0 at time T: 6858688
Hedge 5: X: -1.482000, Y: 0.792000, Z: -1.146000, Angle: 0 at time T: 6858864
Hedge 5: X: -1.480000, Y: 0.792000, Z: -1.151000, Angle: 0 at time T: 6859038
Hedge 5: X: -1.474000, Y: 0.791000, Z: -1.153000, Angle: 0 at time T: 6859216
Hedge 5: X: -1.476000, Y: 0.794000, Z: -1.146000, Angle: 0 at time T: 6859394
Hedge 5: X: -1.473000, Y: 0.795000, Z: -1.149000, Angle: 0 at time T: 6859579
Hedge 5: X: -1.470000, Y: 0.791000, Z: -1.149000, Angle: 0 at time T: 6859752
Hedge 5: X: -1.470000, Y: 0.789000, Z: -1.147000, Angle: 0 at time T: 6859927
Hedge 5: X: -1.476000, Y: 0.790000, Z: -1.149000, Angle: 0 at time T: 6860104
Hedge 5: X: -1.476000, Y: 0.790000, Z: -1.150000, Angle: 0 at time T: 6860279
Hedge 5: X: -1.474000, Y: 0.793000, Z: -1.147000, Angle: 0 at time T: 6860452
Hedge 5: X: -1.484000, Y: 0.800000, Z: -1.138000, Angle: 0 at time T: 6860632
Hedge 5: X: -1.481000, Y: 0.800000, Z: -1.140000, Angle: 0 at time T: 6860811
Hedge 5: X: -1.482000, Y: 0.800000, Z: -1.140000, Angle: 0 at time T: 6860986
Hedge 5: X: -1.478000, Y: 0.800000, Z: -1.142000, Angle: 0 at time T: 6861162
Hedge 5: X: -1.479000, Y: 0.799000, Z: -1.143000, Angle: 0 at time T: 6861326
Hedge 5: X: -1.475000, Y: 0.797000, Z: -1.144000, Angle: 0 at time T: 6861490
Hedge 5: X: -1.472000, Y: 0.796000, Z: -1.148000, Angle: 0 at time T: 6861659
Hedge 5: X: -1.474000, Y: 0.792000, Z: -1.148000, Angle: 0 at time T: 6861824
Hedge 5: X: -1.473000, Y: 0.789000, Z: -1.151000, Angle: 0 at time T: 6861998
Hedge 5: X: -1.472000, Y: 0.793000, Z: -1.147000, Angle: 0 at time T: 6862174
Hedge 5: X: -1.477000, Y: 0.794000, Z: -1.152000, Angle: 0 at time T: 6862349
Hedge 5: X: -1.474000, Y: 0.791000, Z: -1.148000, Angle: 0 at time T: 6862527
Hedge 5: X: -1.474000, Y: 0.791000, Z: -1.152000, Angle: 0 at time T: 6862709
Hedge 5: X: -1.472000, Y: 0.789000, Z: -1.151000, Angle: 0 at time T: 6862885
Hedge 5: X: -1.472000, Y: 0.789000, Z: -1.152000, Angle: 0 at time T: 6863058
Hedge 5: X: -1.474000, Y: 0.788000, Z: -1.148000, Angle: 0 at time T: 6863233
Hedge 5: X: -1.470000, Y: 0.789000, Z: -1.148000, Angle: 0 at time T: 6863410
Hedge 5: X: -1.482000, Y: 0.796000, Z: -1.141000, Angle: 0 at time T: 6863585
Hedge 5: X: -1.477000, Y: 0.797000, Z: -1.144000, Angle: 0 at time T: 6863762
Hedge 5: X: -1.477000, Y: 0.795000, Z: -1.146000, Angle: 0 at time T: 6863938
Hedge 5: X: -1.474000, Y: 0.794000, Z: -1.148000, Angle: 0 at time T: 6864117
Hedge 5: X: -1.478000, Y: 0.792000, Z: -1.146000, Angle: 0 at time T: 6864292
Hedge 5: X: -1.472000, Y: 0.796000, Z: -1.146000, Angle: 0 at time T: 6864469
Hedge 5: X: -1.473000, Y: 0.795000, Z: -1.149000, Angle: 0 at time T: 6864632
Hedge 5: X: -1.478000, Y: 0.794000, Z: -1.145000, Angle: 0 at time T: 6864804
Hedge 5: X: -1.480000, Y: 0.795000, Z: -1.146000, Angle: 0 at time T: 6864967
Hedge 5: X: -1.475000, Y: 0.796000, Z: -1.147000, Angle: 0 at time T: 6865132
