Hedge 5: X: -1.270000, Y: 0.925000, Z: -1.142000, Angle: 0 at time T: 8981158
Hedge 5: X: -1.266000, Y: 0.927000, Z: -1.143000, Angle: 0 at time T: 8981334
Hedge 5: X: -1.262000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8981507
Hedge 5: X: -1.263000, Y: 0.929000, Z: -1.137000, Angle: 0 at time T: 8981682
Hedge 5: X: -1.259000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8981859
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8982038
Hedge 5: X: -1.257000, Y: 0.930000, Z: -1.137000, Angle: 0 at time T: 8982211
Hedge 5: X: -1.260000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8982384
Hedge 5: X: -1.258000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8982559
Hedge 5: X: -1.261000, Y: 0.935000, Z: -1.134000, Angle: 0 at time T: 8982733
Hedge 5: X: -1.261000, Y: 0.937000, Z: -1.133000, Angle: 0 at time T: 8982906
Hedge 5: X: -1.258000, Y: 0.931000, Z: -1.136000, Angle: 0 at time T: 8983075
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.139000, Angle: 0 at time T: 8983238
Hedge 5: X: -1.265000, Y: 0.928000, Z: -1.140000, Angle: 0 at time T: 8983401
Hedge 5: X: -1.263000, Y: 0.927000, Z: -1.138000, Angle: 0 at time T: 8983566
Hedge 5: X: -1.260000, Y: 0.929000, Z: -1.140000, Angle: 0 at time T: 8983741
Hedge 5: X: -1.261000, Y: 0.926000, Z: -1.139000, Angle: 0 at time T: 8983917
Hedge 5: X: -1.259000, Y: 0.926000, Z: -1.139000, Angle: 0 at time T: 8984096
Hedge 5: X: -1.259000, Y: 0.928000, Z: -1.140000, Angle: 0 at time T: 8984274
Hedge 5: X: -1.258000, Y: 0.928000, Z: -1.141000, Angle: 0 at time T: 8984452
Hedge 5: X: -1.259000, Y: 0.927000, Z: -1.141000, Angle: 0 at time T: 8984628
Hedge 5: X: -1.261000, Y: 0.927000, Z: -1.140000, Angle: 0 at time T: 8984801
Hedge 5: X: -1.261000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8984975
Hedge 5: X: -1.258000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8985162
Hedge 5: X: -1.258000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8985337
Hedge 5: X: -1.263000, Y: 0.933000, Z: -1.139000, Angle: 0 at time T: 8985510
Hedge 5: X: -1.260000, Y: 0.932000, Z: -1.137000, Angle: 0 at time T: 8985683
Hedge 5: X: -1.259000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8985858
Hedge 5: X: -1.264000, Y: 0.933000, Z: -1.139000, Angle: 0 at time T: 8986032
Hedge 5: X: -1.262000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8986210
Hedge 5: X: -1.257000, Y: 0.932000, Z: -1.136000, Angle: 0 at time T: 8986373
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.139000, Angle: 0 at time T: 8986536
Hedge 5: X: -1.263000, Y: 0.929000, Z: -1.139000, Angle: 0 at time T: 8986699
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.138000, Angle: 0 at time T: 8986864
Hedge 5: X: -1.261000, Y: 0.931000, Z: -1.137000, Angle: 0 at time T: 8987038
Hedge 5: X: -1.259000, Y: 0.932000, Z: -1.138000, Angle: 0 at time T: 8987218
Hedge 5: X: -1.263000, Y: 0.930000, Z: -1.138000, Angle: 0 at time T: 8987393
