발생일시,관할해경서,발생해역,발생유형,발생원인,기상특보,사고선박수,구조인원,부상인원,사망인원,실종인원,위도,경도,선종1,톤수1,선종2,톤수2,선종3,톤수3
2010-06-19 15:00,울산,영해-EEZ,추진기장애,운항부주의,양호,1,8,0,0,0,35|28|00,130|23|00,어선,29,,,,
2010-06-19 14:50,부산,항계내,좌주,기상악화,저시정,1,5,0,0,0,35|09|40,129|09|40,모터보트,3,,,,
2010-06-19 12:00,태안,협수로,충돌,운항부주의,저시정,2,13,0,0,0,36|41|00,126|05|00,어선,35,어선,89,,
2010-06-19 11:32,태안,영해,충돌,운항부주의,양호,2,16,0,0,0,36|52|63,126|05|46,낚시어선,4.98,어선,7.93,,
2010-06-18 09:50,포항,영해,기관고장,정비불량,양호,1,2,0,0,0,35|55|72,129|34|59,예부선,13,,,,
2010-06-18 08:04,포항,항계내,화재,기타,양호,1,0,0,0,0,36|03|72,129|23|35,어선,3.07,,,,
2010-06-18 02:13,인천,영해,화재,기타,양호,1,3,0,0,0,37|19|00,126|08|00,어선,80,,,,
2010-06-17 14:20,서귀포,공해,기관고장,정비불량,양호,1,10,0,0,0,31|19|00,127|01|00,어선,67,,,,
2010-06-17 11:45,부산,항계내,기타,운항부주의,양호,2,17,0,0,0,35|02|05,129|01|00,화물선,1141,기타,638,,
2010-06-17 06:25,목포,항계내,좌주,운항부주의,양호,1,3,0,0,0,35|09|00,126|07|00,어선,13,,,,
2010-06-16 04:35,인천,항계내,화재,기타,양호,1,0,0,0,0,37|10|00,126|30|00,어선,9.77,,,,
2010-06-16 00:00,인천,협수로,충돌,운항부주의,양호,2,35,0,0,0,37|19|22,126|24|58,유조선,7675,화물선,2645,,
2010-06-15 07:00,속초,영해,좌초,운항부주의,양호,1,3,0,0,0,38|10|30,128|36|30,어선,9.16,,,,
2010-06-15 00:30,통영,영해,침수,정비불량,양호,1,2,0,0,0,34|43|44,128|39|83,어선,4.74,,,,
2010-06-14 22:00,서귀포,공해,기관고장,정비불량,양호,1,9,0,0,0,29|43|00,125|30|00,어선,29,,,,
