발생일시,관할해경서,발생해역,위도,경도,기상상태,발생원인,발생유형,사고선박수,발생인원,구조,부상,사망,실종,선 종,톤수
2019-12-19 06:00,서귀포,공해,29 | 4 | 60,124 | 28 | 0,양호,운항부주의,부유물감김,1,9,9,0,0,0,어선,32
2019-12-19 00:26,여수,항계 내,34 | 33 | 20,127 | 40 | 0,양호,운항부주의,충돌,1,4,4,0,0,0,어선,3.49
2019-12-19 00:26,여수,항계 내,34 | 33 | 20,127 | 40 | 0,양호,운항부주의,충돌,1,2,2,0,0,0,어선,4.97
2019-12-19 04:30,창원,영해,35 | 5 | 50,128 | 39 | 47,양호,운항부주의,접촉,1,3,3,0,0,0,기타,12
2019-12-18 15:08,통영,협수로,34 | 46 | 8,128 | 32 | 44,양호,정비불량,충돌,1,1,1,0,0,0,어선,3.09
2019-12-18 15:08,통영,협수로,34 | 46 | 8,128 | 32 | 44,양호,정비불량,충돌,1,1,1,0,0,0,어선,2.99
2019-12-18 23:41,완도,항계 내,34 | 17 | 57,126 | 18 | 26,양호,정비불량,기관손상,1,11,11,0,0,0,어선,42
2019-12-18 14:52,완도,항계 내,34 | 19 | 19,126 | 45 | 1,양호,관리소홀,해양오염,1,0,0,0,0,0,어선,59
2019-12-18 14:09,군산,항계 내,35 | 59 | 16,126 | 41 | 42,양호,관리소홀,침수,1,0,0,0,0,0,어선,7.93
2019-12-18 09:47,목포,영해,33 | 56 | 6,125 | 0 | 34,양호,정비불량,기관손상,1,12,12,0,0,0,어선,78
2019-12-17 12:59,동해,영해,37 | 31 | 43,131 | 3 | 41,양호,운항부주의,부유물감김,1,10,10,0,0,0,어선,32
2019-12-17 21:23,여수,항계 내,34 | 42 | 52,127 | 44 | 36,양호,운항부주의,부유물감김,1,3,3,0,0,0,기타,1
2019-12-17 11:59,목포,영해,34 | 48 | 0,125 | 43 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,9.77
2019-12-17 08:00,서귀포,영해,33 | 25 | 0,127 | 6 | 0,양호,정비불량,키손상,1,4,4,0,0,0,어선,8.55
2019-12-16 18:07,창원,항계 내,35 | 6 | 6,128 | 29 | 43,양호,관리소홀,침수,1,0,0,0,0,0,어선,4.22
2019-12-17 08:52,목포,영해,34 | 12 | 0,125 | 34 | 36,양호,운항부주의,부유물감김,1,12,12,0,0,0,어선,79
2019-12-16 16:36,목포,영해,34 | 40 | 21,125 | 11 | 39,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,0.71
2019-12-16 08:51,군산,영해-EEZ,35 | 34 | 0,125 | 0 | 0,양호,정비불량,기관손상,1,7,7,0,0,0,어선,20
2019-12-16 11:08,목포,항계 내,34 | 48 | 13,126 | 21 | 56,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,0.25
2019-12-16 08:22,속초,항계 내,37 | 53 | 8,128 | 49 | 43,양호,운항부주의,충돌,1,1,1,0,0,0,어선,2.97
2019-12-16 08:02,포항,영해,35 | 43 | 60,129 | 30 | 0,양호,정비불량,기관손상,1,1,1,0,0,0,어선,0.95
2019-12-15 22:03,보령,영해,36 | 17 | 9,126 | 1 | 40,양호,정비불량,추진기손상,1,7,7,0,0,0,어선,12
2019-12-16 08:22,속초,항계 내,37 | 53 | 8,128 | 49 | 43,양호,운항부주의,충돌,1,2,2,0,0,0,어선,5.19
2019-12-15 17:20,통영,협수로,34 | 49 | 50,128 | 27 | 19,양호,정비불량,기관손상,1,3,3,0,0,0,관공선,2.13
2019-12-15 17:20,통영,협수로,34 | 49 | 50,128 | 27 | 19,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,2.59
2019-12-15 16:05,통영,협수로,34 | 49 | 50,128 | 35 | 11,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,1.48
2019-12-15 15:10,포항,영해,0 | 0 | 0,0 | 0 | 0,양호,정비불량,운항저해,1,4,4,0,0,0,모터보트,2
2019-12-15 13:16,통영,협수로,34 | 48 | 4,128 | 32 | 1,양호,정비불량,기관손상,1,4,4,0,0,0,모터보트,2.91
2019-12-15 12:57,울진,항계 내,37 | 3 | 29,129 | 25 | 42,양호,정비불량,운항저해,1,1,1,0,0,0,모터보트,0
2019-12-15 10:30,창원,영해,34 | 47 | 26,128 | 44 | 29,양호,기타 ,침몰,1,2,0,0,1,1,어선,1.53
2019-12-15 10:19,부산,영해,35 | 3 | 51,129 | 6 | 28,양호,정비불량,추진기손상,1,1,1,0,0,0,예부선,549
2019-12-15 10:19,부산,영해,35 | 3 | 51,129 | 6 | 28,양호,정비불량,추진기손상,1,3,3,0,0,0,예부선,59
2019-12-15 08:24,통영,협수로,34 | 44 | 3,128 | 6 | 33,양호,정비불량,키손상,1,6,6,0,0,0,어선,12
2019-12-15 05:46,통영,협수로,34 | 51 | 45,128 | 27 | 51,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,4.76
2019-12-15 07:47,통영,영해,34 | 38 | 20,128 | 33 | 0,양호,운항부주의,추진기손상,1,2,2,0,0,0,어선,4.48
2019-12-15 05:44,여수,항계 내,34 | 29 | 19,127 | 47 | 35,양호,관리소홀,부유물감김,1,2,2,0,0,0,어선,1.98
2019-12-15 04:13,서귀포,영해,33 | 12 | 20,126 | 15 | 29,양호,운항부주의,좌초/좌주,1,1,1,0,0,0,어선,5.76
2019-12-14 21:05,제주,영해,33 | 33 | 0,126 | 31 | 60,양호,정비불량,키손상,1,5,5,0,0,0,어선,9.77
2019-12-14 17:05,제주,영해,33 | 34 | 0,126 | 33 | 0,양호,정비불량,키손상,1,4,4,0,0,0,어선,6.67
2019-12-15 02:21,제주,영해,33 | 40 | 0,126 | 4 | 0,양호,기타 ,화재,1,9,9,0,0,0,어선,139
2019-12-14 16:24,울산,영해,35 | 36 | 53,129 | 27 | 16,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,0
2019-12-14 16:10,동해,영해,37 | 31 | 0,129 | 7 | 0,양호,정비불량,기관손상,1,2,2,0,0,0,어선,1.96
2019-12-14 16:24,울산,영해,35 | 36 | 53,129 | 27 | 16,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,1.84
2019-12-14 15:41,통영,협수로,34 | 50 | 57,128 | 13 | 44,양호,운항부주의,좌초/좌주,1,2,2,0,0,0,어선,2.99
2019-12-14 14:48,목포,영해,34 | 47 | 26,126 | 19 | 23,양호,정비불량,기관손상,1,32,32,0,0,0,여객선,223
2019-12-14 09:30,제주,항계 내,33 | 25 | 60,126 | 16 | 0,양호,운항부주의,부유물감김,1,2,2,0,0,0,모터보트,2.8
2019-12-14 08:47,포항,영해,35 | 43 | 0,129 | 30 | 0,양호,정비불량,기관손상,1,1,1,0,0,0,어선,0.95
2019-12-14 09:54,창원,영해,34 | 53 | 6,128 | 51 | 58,양호,정비불량,기관손상,1,1,1,0,0,0,모터보트,1.49
2019-12-14 05:55,목포,항계 내,34 | 58 | 51,126 | 19 | 11,양호,관리소홀,전복,1,0,0,0,0,0,어선,3.5
2019-12-14 04:30,동해,공해,38 | 21 | 0,133 | 24 | 0,풍랑주의보,정비불량,화재,1,10,10,0,0,0,어선,79
2019-12-14 06:19,울진,영해,36 | 46 | 60,129 | 30 | 0,양호,안전부주의,작업 중 인명사상,1,1,1,1,0,0,어선,3.74
2019-12-14 03:51,창원,영해,35 | 3 | 22,128 | 40 | 11,양호,정비불량,기관손상,1,1,1,0,0,0,어선,1.11
2019-12-13 20:27,군산,항계 내,0 | 0 | 0,0 | 0 | 0,양호,관리소홀,전복,1,0,0,0,0,0,어선,1.71
2019-12-13 22:40,태안,영해,36 | 48 | 5,126 | 4 | 17,양호,운항부주의,부유물감김,1,2,2,0,0,0,예부선,60
