MODEL,DATE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
6,2021-08-27,100.0,100.0,100.0,100.0,100.0,100.0,99.59,97.96,93.66,90.83,99.1,94.89,96.45,84.3,87.31,79.11,83.56,83.62,86.56,94.54,97.69,98.84,99.35,99.39
6,2021-08-28,100.0,100.0,100.0,100.0,100.0,100.0,99.98,97.91,98.71,94.62,97.73,88.58,95.37,92.97,87.62,83.48,86.18,89.49,88.89,94.54,97.69,98.84,99.35,99.39
6,2021-08-29,100.0,100.0,100.0,100.0,100.0,100.0,99.87,97.75,95.71,98.44,97.15,89.03,91.58,95.34,95.83,94.97,81.33,81.28999999999999,87.98,94.57,97.69,98.84,99.35,99.39
6,2021-08-30,100.0,100.0,100.0,100.0,100.0,100.0,99.73,96.33,92.71,92.28,91.58,90.87,95.26,96.29,99.19,85.33,81.13,83.88,87.24,94.54,97.69,98.84,99.35,99.39
6,2021-08-31,100.0,100.0,100.0,100.0,100.0,100.0,99.99,98.78,96.73,94.16,98.89,99.02,89.56,89.82,91.4,99.33,87.12,86.61,87.95,94.54,97.69,98.84,99.35,99.39
7,2021-08-25,99.63,99.61,100.0,99.3,99.5,99.51,98.86,97.25,92.79,87.66,80.83,85.66,83.75,78.05,82.03999999999999,85.4,90.38,92.84,96.59,98.98,99.8,99.76,99.62,99.41
7,2021-08-26,99.59,99.44,100.0,99.19,99.45,99.46,99.41,98.19,97.42,99.54,99.16,89.5,87.84,86.55,88.57,87.93,89.38,92.44,99.5,98.96,99.74,99.69,99.55,99.34
7,2021-08-27,99.84,100.0,100.0,99.56,99.65,99.6,99.2,97.87,98.34,98.16,90.56,96.26,92.53,81.49,86.84,83.72,92.07,93.12,95.76,99.06,99.97,99.93,99.78,99.57
7,2021-08-28,99.01,99.04,100.0,99.03,99.39,99.39,98.78,98.52,94.47,96.39,89.35,93.61,95.39,93.92,90.92,89.33,96.59,99.61,98.34,98.87,99.73,99.67,99.48,99.31
7,2021-08-29,99.58,99.7,100.0,99.34,99.52,99.52,98.96,98.61,97.42,92.56,88.78,83.64,91.12,95.63,98.22,99.66,91.15,91.78999999999999,97.43,99.03,99.85,99.8,99.64,99.44
7,2021-08-30,99.6,99.58,100.0,99.26,99.48,99.49,99.13,99.73,99.07,99.67,99.14,94.56,93.93,94.5,97.11,91.28999999999999,91.56,94.9,96.85,99.01,99.8,99.75,99.59,99.39
7,2021-08-31,99.49,99.6,100.0,99.3,99.51,99.5,98.82,97.54,96.3,96.63,92.57,95.29,90.32,89.74,89.14,95.35,96.88,97.05,97.34,98.97,99.83,99.78,99.62,99.43
8,2021-08-25,100.0,100.0,98.92,99.32,99.09,99.12,98.95,98.14,95.96,94.85,96.7,97.27,99.36,93.51,96.11,98.5,98.28,99.06,99.8,99.48,99.61,99.66,99.54,99.07
8,2021-08-26,100.0,100.0,99.03,99.39,99.05,99.13,99.62,97.08,93.83,92.58,80.16,70.11,70.35,68.43,71.44,71.41,75.7,83.6,97.17,99.53,99.62,99.7,99.63,99.16
8,2021-08-27,99.64,98.96,99.06,99.05,98.9,99.02,98.93,97.46,98.18,97.83,88.98,92.72,89.5,78.71000000000001,82.94,77.97,86.61,89.07,93.25,97.81,99.07,99.34,99.49,99.56
8,2021-08-28,100.0,100.0,99.61,99.29,99.06,99.18,98.77,98.67,95.3,99.86,94.33,93.15,93.98,95.86,91.95,91.41,97.48,99.85,97.24,98.28,99.18,99.35,99.43,99.55
8,2021-08-29,100.0,99.72,98.79,99.26,99.04,99.17,99.11,99.1,99.67,98.27,95.39,85.11,89.89,92.96,93.99,94.83,86.58,87.53,95.17,98.05,99.18,99.49,99.67,99.77
8,2021-08-30,100.0,100.0,99.17,99.35,99.08,99.11,99.23,99.09,96.28,93.43,84.39,79.63,80.63,81.92,85.82,98.52,99.27,99.03,98.45,99.18,99.61,99.72,99.76,99.69
8,2021-08-31,100.0,99.65,98.48,99.32,98.96,99.16,98.64,97.25,97.44,99.69,92.26,89.63,98.6,99.2,99.42,91.72,84.19,87.59,91.85,97.24,99.11,99.52,99.72,99.81
9,2021-08-25,99.77,100.0,100.0,100.0,100.0,100.0,99.91,99.1,93.89,88.64,83.02,86.48,83.36,80.86,86.05,89.92,93.24,91.92,91.63,93.22,95.44,97.54,99.52,100.0
9,2021-08-26,99.77,100.0,100.0,100.0,100.0,100.0,99.54,96.48,96.64,99.9,97.58,89.73,89.66,85.0,85.69,83.94,87.03999999999999,93.75,94.47,93.24,95.44,97.54,99.52,100.0
9,2021-08-27,99.77,100.0,100.0,100.0,100.0,100.0,99.67,99.5,98.9,97.88,95.54,97.87,97.26,88.71000000000001,94.75,89.43,96.64,93.51,91.1,93.22,95.44,97.54,99.52,100.0
9,2021-08-28,99.77,100.0,100.0,100.0,100.0,100.0,99.93,99.45,96.05,98.33,92.36,91.56,94.56,97.38,95.06,93.8,99.26,99.38,93.44,93.22,95.44,97.54,99.52,100.0
9,2021-08-29,99.77,100.0,100.0,100.0,100.0,100.0,99.96,99.3,99.05,94.51,91.78999999999999,86.05,92.39,99.75,96.74,94.71,94.41,91.18,92.52,93.24,95.44,97.54,99.52,100.0
9,2021-08-30,99.77,100.0,100.0,100.0,100.0,100.0,99.81,97.87,97.96,99.33,96.94,93.85,94.45,91.88,93.38,95.65,94.21,93.77,91.78,93.22,95.44,97.54,99.52,100.0
9,2021-08-31,99.77,100.0,100.0,100.0,100.0,100.0,99.92,99.67,98.03,98.79,95.75,98.0,88.75,85.41,83.97,90.34,99.8,96.51,92.49,93.22,95.44,97.54,99.52,100.0
