,from,to,cost
860,1150017000,1150017000,0
861,1150017000,1150018700,10
862,1150017000,1150003400,10
863,1150017000,1150002900,10
864,1150014200,1150014300,820
865,1150014200,1150014200,0
866,1150014200,1150017100,10
867,1150012400,1150012500,1106
868,1150012400,1150012400,0
869,1150012400,1150014300,10
870,1150012400,1150001700,10
871,1150012400,1150002000,10
872,1150011200,1150011300,783
873,1150011200,1150011200,0
874,1150011200,1150012500,10
875,1150011200,1150011600,10
876,1150010200,1150010300,826
877,1150010200,1150010200,0
878,1150010200,1150011300,10
879,1150009600,1150009700,185
880,1150009600,1150009600,0
881,1150009600,1150010300,10
882,1150009600,1150010100,10
883,1150009600,1140038100,10
884,1150009400,1150009500,204
885,1150009400,1150009400,0
886,1150009400,1150009700,10
887,1150009400,1150009200,10
888,1150009400,1150010500,10
889,1150008600,1150008700,651
890,1150008600,1150009000,10
891,1150008600,1150008600,0
892,1150008600,1150009500,10
893,1150008000,1150008100,364
894,1150008000,1150008000,0
895,1150008000,1150008700,10
896,1150008000,1150008200,10
897,1140026300,1140026400,2784
898,1140026300,1140026300,0
899,1140026300,1150008100,10
900,1140026300,1150007900,10
901,1140026300,1150007400,10
902,1140026400,1140026300,336
903,1140026400,1140026400,0
904,1140026400,1140041400,10
905,1140026400,1140022100,10
906,1140026400,1140020700,10
907,1150008100,1150008000,364
908,1150008100,1140026300,10
909,1150008100,1150008100,0
910,1150008100,1150007900,10
911,1150008100,1150007400,10
912,1150008700,1150008600,651
913,1150008700,1150008000,10
914,1150008700,1150008700,0
915,1150008700,1150008200,10
916,1150009700,1150009600,185
917,1150009700,1150009400,10
918,1150009700,1150009700,0
919,1150009700,1150009200,10
920,1150009700,1150010500,10
921,1150010300,1150010200,826
922,1150010300,1150009600,10
923,1150010300,1150010300,0
924,1150010300,1150010100,10
925,1150010300,1140038100,10
926,1150011300,1150011200,783
927,1150011300,1150010200,10
928,1150011300,1150011300,0
929,1150012500,1150012400,871
930,1150012500,1150011200,10
931,1150012500,1150012500,0
932,1150012500,1150011600,10
933,1150014300,1150014200,550
934,1150014300,1150012400,10
935,1150014300,1150014300,0
936,1150014300,1150001700,10
937,1150014300,1150002000,10
938,1150017100,1150017000,1060
939,1150017100,1150014200,10
940,1150017100,1150017100,0
941,1150018700,1150018600,293
942,1150018700,1150017000,10
943,1150018700,1150018700,0
944,1150018700,1150003400,10
945,1150018700,1150002900,10
946,1150019900,1150019800,375
947,1150019900,1150018600,10
948,1150019900,1150019900,0
949,1150019900,1150018400,10
950,1150008300,1150008200,579
951,1150008300,1150008500,10
952,1150008300,1150008300,0
953,1150008200,1150008300,579
954,1150008200,1150008000,10
955,1150008200,1150008700,10
956,1150008200,1150008200,0
957,1150009200,1150009300,581
958,1150009200,1150009400,10
959,1150009200,1150009700,10
960,1150009200,1150009200,0
961,1150009200,1150010500,10
962,1150009300,1150009200,581
963,1150009300,1150009100,10
964,1150009300,1150008800,10
965,1150009300,1150008400,10
966,1150009300,1150009300,0
967,1160011300,1160011400,2289
968,1160011300,1160011300,0
969,1160011300,1160001600,10
970,1160011300,1160001800,10
971,3201506800,3201506900,2045
972,3201506800,3201506800,0
973,3201506800,1160011400,10
974,3201506800,1160009500,10
975,3201506800,1160011000,10
976,3201504700,3201504600,683
977,3201504700,3201504700,0
