from,to,cost
1180010800,1180009400,510.5475785
1180010800,1180011700,10
1180010800,1180011600,311.6135007
1180010800,1180013100,311.6135007
1180010800,1180012000,311.6135007
1180010800,1180013300,311.6135007
1180009800,1180009800,0
1180009800,1160012500,414.0903056
1180009800,1180009900,414.0903056
1180009800,1180007600,414.0903056
1180009800,1180010100,414.0903056
1180009800,1180010900,10
1180009800,1180010800,270.858529
1180009800,1180011900,270.858529
1180009800,1180010400,270.858529
1180009800,1180011700,270.858529
1180009800,1180011100,10
1180009800,1180012300,330.8415111
1180009800,1180011000,330.8415111
1180009800,1180011400,330.8415111
1180009800,1180012100,330.8415111
1180009800,1180009600,10
1180009800,1180009700,572.5432815
1180009800,1180008600,572.5432815
1180009800,1180008400,572.5432815
1180009800,1180009100,572.5432815
1160012500,1160012500,0
1160012500,1160011700,443.1126896
1160012500,1160012600,443.1126896
1160012500,1160014000,443.1126896
1160012500,1160011100,443.1126896
1160012500,1180009900,10
1160012500,1180009800,414.0903056
1160012500,1180010900,414.0903056
1160012500,1180011100,414.0903056
1160012500,1180009600,414.0903056
1160012500,1180007600,10
1160012500,1180006600,601.2499466
1160012500,1180007700,601.2499466
1160012500,1160010300,601.2499466
1160012500,1180007300,601.2499466
1160012500,1180010100,10
1160012500,1180010000,464.7993462
1160012500,1160015100,464.7993462
1160012500,1180011500,464.7993462
1160011700,1160011700,0
1160011700,1160010500,493.7639811
1160011700,1160011800,493.7639811
1160011700,1160012000,493.7639811
1160011700,1160009300,493.7639811
1160011700,1160012600,10
1160011700,1160012500,443.1126896
1160011700,1180009900,443.1126896
1160011700,1180007600,443.1126896
1160011700,1180010100,443.1126896
1160011700,1160014000,10
1160011700,1160016400,533.60405
1160011700,1160016300,533.60405
1160011700,1160013900,533.60405
1160011700,1160015200,533.60405
1160011700,1160015600,533.60405
1160011700,1160011100,10
1160011700,1160008500,657.1568474
1160011700,1160010400,657.1568474
1160011700,1160011200,657.1568474
1160011700,1160007700,657.1568474
1160010500,1160010500,0
1160010500,1160008300,533.7981592
1160010500,1160010600,533.7981592
1160010500,1160010800,533.7981592
1160010500,1160008900,533.7981592
1160010500,1160011800,10
1160010500,1160011700,493.7639811
1160010500,1160012600,493.7639811
1160010500,1160014000,493.7639811
1160010500,1160011100,493.7639811
1160010500,1160012000,10
1160010500,1160012800,445.7583358
1160010500,1160011900,445.7583358
1160010500,1160009300,10
1160010500,1160009400,650.4716714
1160010500,1160007300,650.4716714
1160010500,1160008600,650.4716714
1160008300,1160008300,0
1160008300,1160006900,703.3557869
1160008300,1160008400,703.3557869
1160008300,1160010600,10
1160008300,1160010500,533.7981592
1160008300,1160011800,533.7981592
1160008300,1160012000,533.7981592
1160008300,1160009300,533.7981592
1160008300,1160010800,10
1160008300,1160012400,281.1142005
1160008300,1160010700,281.1142005
1160008300,1160008900,10
1160008300,1160009000,291.0453075
1160008300,1160007100,291.0453075
1160006900,1160006900,0
1160006900,2130003902,138.3501207
1160006900,1160008400,10
1160006900,1160008300,703.3557869
1160006900,1160010600,703.3557869
1160006900,1160010800,703.3557869
1160006900,1160008900,703.3557869
2130003902,2130003902,0
2130003902,2130004002,54.42358243
2130003902,1170010900,54.42358243
2130004002,2130004002,0
2130004002,1160007000,56.52617058
2130004002,1160003700,56.52617058
2130004002,1160008200,56.52617058
2130004002,1170010900,10
2130004002,1170010300,342.4940152
2130004002,1170011000,342.4940152
1160007000,1160007000,0
1160007000,1160006900,138.2554199
1160007000,1160008400,138.2554199
1160007000,1160003700,10
1160007000,1200002800,1978.689141
1160007000,1160003800,1978.689141
1160007000,1160004400,1978.689141
1160007000,1170007300,1978.689141
1160007000,1160008200,10
1160007000,1160008100,841.0104659
1160007000,1160009600,841.0104659
1160007000,1160001200,841.0104659
1160007000,1170001300,841.0104659
1160008400,1160006900,10
1160008400,2130003902,138.3501207
1160008400,1160008400,0
1160008400,1160008300,703.3557869
1160008400,1160010600,703.3557869
1160008400,1160010800,703.3557869
1160008400,1160008900,703.3557869
1160010600,1160008300,10
1160010600,1160006900,703.3557869
1160010600,1160008400,703.3557869
1160010600,1160010600,0
1160010600,1160010500,533.7981592
1160010600,1160011800,533.7981592
1160010600,1160012000,533.7981592
1160010600,1160009300,533.7981592
1160010600,1160010800,10
1160010600,1160012400,281.1142005
1160010600,1160010700,281.1142005
1160010600,1160008900,10
1160010600,1160009000,291.0453075
1160010600,1160007100,291.0453075
1160011800,1160010500,10
1160011800,1160008300,533.7981592
1160011800,1160010600,533.7981592
1160011800,1160010800,533.7981592
1160011800,1160008900,533.7981592
1160011800,1160011800,0
1160011800,1160011700,493.7639811
1160011800,1160012600,493.7639811
1160011800,1160014000,493.7639811
1160011800,1160011100,493.7639811
1160011800,1160012000,10
1160011800,1160012800,445.7583358
1160011800,1160011900,445.7583358
1160011800,1160009300,10
1160011800,1160009400,650.4716714
1160011800,1160007300,650.4716714
1160011800,1160008600,650.4716714
1160012600,1160011700,10
1160012600,1160010500,493.7639811
1160012600,1160011800,493.7639811
1160012600,1160012000,493.7639811
1160012600,1160009300,493.7639811
1160012600,1160012600,0
1160012600,1160012500,443.1126896
1160012600,1180009900,443.1126896
1160012600,1180007600,443.1126896
1160012600,1180010100,443.1126896
1160012600,1160014000,10
1160012600,1160016400,533.60405
1160012600,1160016300,533.60405
1160012600,1160013900,533.60405
1160012600,1160015200,533.60405
1160012600,1160015600,533.60405
1160012600,1160011100,10
1160012600,1160008500,657.1568474
1160012600,1160010400,657.1568474
1160012600,1160011200,657.1568474
1160012600,1160007700,657.1568474
1180009900,1160012500,10
1180009900,1160011700,443.1126896
1180009900,1160012600,443.1126896
1180009900,1160014000,443.1126896
1180009900,1160011100,443.1126896
1180009900,1180009900,0
1180009900,1180009800,414.0903056
1180009900,1180010900,414.0903056
1180009900,1180011100,414.0903056
1180009900,1180009600,414.0903056
1180009900,1180007600,10
1180009900,1180006600,601.2499466
1180009900,1180007700,601.2499466
1180009900,1160010300,601.2499466
1180009900,1180007300,601.2499466
1180009900,1180010100,10
1180009900,1180010000,464.7993462
1180009900,1160015100,464.7993462
1180009900,1180011500,464.7993462
1180010900,1180009800,10
1180010900,1160012500,414.0903056
1180010900,1180009900,414.0903056
1180010900,1180007600,414.0903056
1180010900,1180010100,414.0903056
1180010900,1180010900,0
1180010900,1180010800,270.858529
1180010900,1180011900,270.858529
1180010900,1180010400,270.858529
1180010900,1180011700,270.858529
1180010900,1180011100,10
1180010900,1180012300,330.8415111
1180010900,1180011000,330.8415111
1180010900,1180011400,330.8415111
1180010900,1180012100,330.8415111
1180010900,1180009600,10
1180010900,1180009700,572.5432815
1180010900,1180008600,572.5432815
1180010900,1180008400,572.5432815
1180010900,1180009100,572.5432815
1180011900,1180010800,10
1180011900,1180009800,270.858529
1180011900,1180010900,270.858529
1180011900,1180011100,270.858529
1180011900,1180009600,270.858529
1180011900,1180011900,0
1180011900,1180011800,727.0968676
1180011900,1180011200,727.0968676
1180011900,1180012700,727.0968676
1180011900,1180010600,727.0968676
1180011900,1180010400,10
1180011900,1180009000,510.5475785
1180011900,1180010500,510.5475785
1180011900,1180009400,510.5475785
1180011900,1180011700,10
1180011900,1180011600,311.6135007
1180011900,1180013100,311.6135007
1180011900,1180012000,311.6135007
1180011900,1180013300,311.6135007
1180011200,1180011800,10
1180011200,1180010800,727.0968676
1180011200,1180011900,727.0968676
1180011200,1180010400,727.0968676
1180011200,1180011700,727.0968676
1180011200,1180011200,0
1180011200,1180011300,981.3884546
1180011200,1180012900,981.3884546
1180011200,1180010200,981.3884546
1180011200,1180012700,10
1180011200,1180013200,539.523931
1180011200,1180014100,539.523931
1180011200,1180013900,539.523931
1180011200,1180012600,539.523931
1180011200,1180010600,10
1180011200,1180010700,667.8896259
1180011200,1180008800,667.8896259
1180011200,1180009500,667.8896259
1180011200,1180009200,667.8896259
1170010900,2130004002,10
1170010900,1160007000,56.52617058
1170010900,1160003700,56.52617058
1170010900,1160008200,56.52617058
1170010900,1170010900,0
1170010900,1170010300,342.4940152
1170010900,1170011000,342.4940152
1170010300,1170010300,0
1170010300,1170009100,418.016463
1170010300,1170010400,418.016463
1170010300,1170011000,10
1170010300,2130004002,342.4940152
1170010300,1170010900,342.4940152
1170009100,1170009100,0
1170009100,1170006900,418.2841378
1170009100,1170009200,418.2841378
1170009100,1170010400,10
1170009100,1170010300,418.016463
1170009100,1170011000,418.016463
1170006900,1170006900,0
1170006900,1170005700,422.339414
1170006900,1170007000,422.339414
1170006900,1170009200,10
1170006900,1170009100,418.2841378
1170006900,1170010400,418.2841378
1170005700,1170005700,0
1170005700,1170004100,415.0120509
1170005700,1170005800,415.0120509
1170005700,1170007000,10
1170005700,1170006900,422.339414
1170005700,1170009200,422.339414
1170004100,1170004100,0
1170004100,1170004200,392.5883989
1170004100,1170003300,392.5883989
1170004100,1170005800,10
1170004100,1170005700,415.0120509
1170004100,1170007000,415.0120509
1170004200,1170004200,0
1170004200,1170004100,392.5883989
1170004200,1170005800,392.5883989
1170004200,1170003300,10
1170004200,1170003400,158.6573113
1170004200,1170003100,158.6573113
1170005800,1170004100,10
1170005800,1170004200,392.5883989
1170005800,1170003300,392.5883989
1170005800,1170005800,0
1170005800,1170005700,415.0120509
1170005800,1170007000,415.0120509
1170007000,1170005700,10
1170007000,1170004100,415.0120509
1170007000,1170005800,415.0120509
1170007000,1170007000,0
1170007000,1170006900,422.339414
1170007000,1170009200,422.339414
1170009200,1170006900,10
1170009200,1170005700,422.339414
1170009200,1170007000,422.339414
1170009200,1170009200,0
1170009200,1170009100,418.2841378
1170009200,1170010400,418.2841378
1170010400,1170009100,10
1170010400,1170006900,418.2841378
1170010400,1170009200,418.2841378
1170010400,1170010400,0
1170010400,1170010300,418.016463
1170010400,1170011000,418.016463
1170011000,1170010300,10
1170011000,1170009100,418.016463
1170011000,1170010400,418.016463
1170011000,1170011000,0
1170011000,2130004002,342.4940152
1170011000,1170010900,342.4940152
1170005400,1170005400,0
1170005400,1170006800,419.0014119
1170005400,1170005300,419.0014119
1170006800,1170006800,0
1170006800,1170008800,421.3586772
1170006800,1170006700,421.3586772
1170006800,3201510000,421.3586772
1170006800,3201509900,421.3586772
1170006800,1170005300,10
1170006800,1170005400,419.0014119
1170008800,1170008800,0
1170008800,1170010200,419.3426708
1170008800,1170008700,419.3426708
1170008800,1170006700,10
1170008800,1170006800,421.3586772
1170008800,1170005300,421.3586772
1170008800,3201510000,10
1170008800,3201510100,69.12455019
1170008800,3201509900,10
1170008800,3201509800,665.0104455
1170008800,3201509700,665.0104455
1170008800,1170007700,665.0104455
1170008800,1170010000,665.0104455
1170010200,1170010200,0
1170010200,1170010800,418.858491
1170010200,1170010100,418.858491
