Entity code,Entity name,Entity abbreviation,Entity theme,Entity coverage,Related entity codes,Status,Number of live instances,Number of archived instances,Number of cross-border instances,Date of last instance change,Current code (first in range),Current code (last in range),Reserved code (for CHD use),Entity owner,Date entity introduced on RGC,Entity start date
N12,Travel to Work Areas,TTWA,Other,Northern Ireland,"E30, W22, S22, K01",Current,10,0,0,n/a,N12000001,N12000010,N12999999,ONS,31/07/2015,31/07/2015
N13,Local Planning Authorities,LPA,Administrative,Northern Ireland,"E60, S44, W43",Current,12,0,0,n/a,N13000001,N13000012,N13999999,ONS,01/07/2019,01/04/2019
N19,Workplace Zones,WZ,Census,Northern Ireland,"E33, W35, S34",Current,"1,756",0,0,n/a,N19000001,N19001756,N19999999,NISRA,20/10/2016,31/12/2011
N23,Police Force Areas,PFA,Other,Northern Ireland,"E23, W15, S23",Current,1,0,0,n/a,N23000001,N23000001,N23999999,PSNI,01/02/2016,01/04/2015
N24,Police Force Districts,PFD,Other,Northern Ireland,n/a,Current,11,0,0,n/a,N24000001,N24000011,N24999999,PSNI,01/02/2016,01/04/2015
N31,Northern Ireland Fire and Rescue Service,NIFRS,Other,Northern Ireland,"E31, W25, S38",Current,1,0,0,n/a,N31000001,N31000001,N31999999,NIFRS,01/02/2016,01/02/2016
N32,Northern Ireland Fire and Rescue Service Areas,NIFRSA,Other,Northern Ireland,n/a,Current,4,0,0,n/a,N32000001,N32000004,N32999999,NIFRS,01/02/2016,01/02/2016
N33,Northern Ireland Fire and Rescue Service Districts,NIFRSD,Other,Northern Ireland,n/a,Current,14,0,0,n/a,N33000001,N33000014,N33999999,NIFRS,01/02/2016,01/02/2016
K01,Travel to Work Areas,TTWA,Other,United Kingdom,"E30, W22, S22, N12",Current,6,12,6,31/07/2015,K01000005,K01000014,K01999999,ONS,01/01/2009,01/01/2009
K02,United Kingdom,UK,Administrative,United Kingdom,"E92, W92, S92, N92",Current,1,0,1,n/a,K02000001,K02000001,K02999999,ONS,31/10/2010,31/10/2010
