pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,ced,laua,ward,hlthau,nhser,ctry,rgn,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd,calncv,stp
"DG109ES","DG10 9ES","DG10 9ES","198001","","0","308451","0605176","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.332081,-3.444659,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109ET","DG10 9ET","DG10 9ET","198001","","0","308481","0605204","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332341,-3.444192,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EU","DG10 9EU","DG10 9EU","198001","","0","308463","0605235","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332613,-3.444489,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EW","DG10 9EW","DG10 9EW","199305","199502","1","308500","0605160","8","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.331946,-3.443882,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EX","DG10 9EX","DG10 9EX","198001","","0","308463","0605256","1","S00098120","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","5B2",55.332802,-3.444496,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EY","DG10 9EY","DG10 9EY","198001","","0","308418","0605198","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.332272,-3.445186,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109EZ","DG10 9EZ","DG10 9EZ","198001","","0","308436","0605210","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.332383,-3.444906,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109FA","DG10 9FA","DG10 9FA","201904","","0","308404","0605653","1","S00098124","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000791","S03000005","S99999999","S99999999","7","1C3",55.336360,-3.445552,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
"DG109GZ","DG10 9GZ","DG10 9GZ","201107","201206","0","311505","0603810","1","S00097125","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007645","S02001437","S34000872","S03000005","S99999999","S99999999","7","1A3",55.320370,-3.396103,"S99999999","S99999999","S23000009",4474,"S99999999","S99999999"
"DG109HA","DG10 9HA","DG10 9HA","198001","","0","308386","0605159","1","S00098191","S99999999","S99999999","S12000006","S13002890","S08000017","S99999999","S92000003","S99999999","S14000014","S15000001","S09000004","S22000055","S03000005","S31000517","S99999999","S01007642","S02001437","S34000849","S03000005","S99999999","S99999999","7","1B3",55.331916,-3.445678,"S99999999","S99999999","S23000009",4176,"S99999999","S99999999"
