frame_num,id,d2x,d2y,rx,ry,heading
38,V15,1552,576,169168,62784,N
38,V14,1279,522,139411,56898,N
38,V13,1114,535,121426,58315,N
38,V12,934,564,101806,61476,N
38,V11,1422,504,154998,54936,N
38,V10,1295,430,141155,46870,N
38,V9,728,564,79352,61476,N
38,V8,1197,463,130473,50467,N
38,V6,1056,470,115104,51230,N
38,V5,734,368,80006,40112,S
38,V4,732,424,79788,46216,N
39,V40,534,546,58206,59514,N
39,V16,732,481,79788,52429,N
39,V15,1550,576,168950,62784,N
39,V14,1279,523,139411,57007,N
39,V13,1112,536,121208,58424,N
39,V12,935,564,101915,61476,N
39,V11,1421,504,154889,54936,N
39,V10,1295,430,141155,46870,N
39,V9,727,565,79243,61585,N
39,V8,1198,463,130582,50467,N
39,V6,1054,470,114886,51230,N
39,V5,734,368,80006,40112,S
39,V4,731,424,79679,46216,N
40,V40,536,549,58424,59841,N
40,V16,733,482,79897,52538,N
40,V15,1550,576,168950,62784,N
40,V14,1279,522,139411,56898,N
40,V13,1113,535,121317,58315,N
40,V12,935,563,101915,61367,N
40,V11,1422,505,154998,55045,N
40,V10,1295,430,141155,46870,N
40,V9,729,565,79461,61585,N
40,V8,1198,463,130582,50467,N
40,V5,733,368,79897,40112,S
40,V4,731,424,79679,46216,N
41,V40,535,544,58315,59296,N
41,V16,732,482,79788,52538,N
41,V15,1549,576,168841,62784,N
41,V14,1279,523,139411,57007,N
41,V13,1113,537,121317,58533,N
41,V12,934,563,101806,61367,N
41,V11,1421,505,154889,55045,N
41,V10,1295,431,141155,46979,N
41,V9,727,565,79243,61585,N
41,V8,1199,463,130691,50467,N
41,V4,731,424,79679,46216,N
42,V40,536,544,58424,59296,N
42,V16,735,482,80115,52538,N
42,V15,1550,576,168950,62784,N
42,V14,1280,524,139520,57116,N
42,V13,1114,537,121426,58533,N
42,V12,935,563,101915,61367,N
42,V11,1422,505,154998,55045,N
42,V10,1296,430,141264,46870,N
42,V9,732,563,79788,61367,N
42,V8,1199,464,130691,50576,N
42,V4,731,424,79679,46216,N
43,V40,538,542,58642,59078,N
43,V16,733,481,79897,52429,N
43,V15,1551,576,169059,62784,N
43,V14,1279,523,139411,57007,N
43,V13,1113,537,121317,58533,N
43,V12,935,564,101915,61476,N
43,V11,1421,505,154889,55045,N
43,V10,1295,430,141155,46870,N
43,V9,729,564,79461,61476,N
43,V8,1199,463,130691,50467,N
43,V5,734,368,80006,40112,S
43,V4,731,424,79679,46216,N
44,V40,538,543,58642,59187,N
44,V16,733,481,79897,52429,N
44,V15,1552,575,169168,62675,N
44,V14,1279,523,139411,57007,N
44,V13,1114,537,121426,58533,N
44,V12,934,563,101806,61367,N
44,V11,1421,505,154889,55045,N
44,V10,1296,430,141264,46870,N
44,V9,729,563,79461,61367,N
44,V8,1200,464,130800,50576,N
44,V6,1055,471,114995,51339,N
44,V4,731,423,79679,46107,N
45,V40,538,543,58642,59187,N
45,V16,735,481,80115,52429,N
45,V15,1552,575,169168,62675,N
45,V14,1279,521,139411,56789,N
45,V13,1113,537,121317,58533,N
45,V12,934,562,101806,61258,N
45,V11,1420,505,154780,55045,N
45,V10,1297,430,141373,46870,N
45,V9,729,565,79461,61585,N
45,V8,1199,463,130691,50467,N
45,V6,1055,471,114995,51339,N
45,V4,732,424,79788,46216,N
45,V2,832,363,90688,39567,S
46,V40,539,542,58751,59078,N
46,V16,733,481,79897,52429,N
46,V15,1551,576,169059,62784,N
46,V14,1278,522,139302,56898,N
46,V13,1114,536,121426,58424,N
46,V12,934,562,101806,61258,N
46,V11,1421,505,154889,55045,N
46,V10,1296,430,141264,46870,N
46,V9,728,566,79352,61694,N
46,V8,1199,464,130691,50576,N
46,V6,1056,471,115104,51339,N
46,V5,733,368,79897,40112,S
46,V4,731,424,79679,46216,N
47,V40,540,543,58860,59187,N
47,V15,1551,576,169059,62784,N
47,V14,1279,521,139411,56789,N
47,V13,1115,537,121535,58533,N
47,V12,935,563,101915,61367,N
47,V11,1421,504,154889,54936,N
47,V10,1297,430,141373,46870,N
47,V9,732,564,79788,61476,N
47,V8,1198,463,130582,50467,N
