Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
65000,0.65697503,None,1.8380561,None,None,1.0
66000,0.6454863,None,1.8897315,None,None,1.0
67000,0.6540317,None,1.9764127,None,None,1.0
68000,0.6577889,None,2.0092301,None,None,1.0
69000,0.65110177,None,1.904847,None,None,1.0
70000,0.6396844,None,1.9097738,None,None,1.0
71000,0.64508617,None,1.9979157,None,None,1.0
72000,0.64780056,None,1.9723625,None,None,1.0
73000,0.6487133,None,1.858658,None,None,1.0
74000,0.6353252,None,1.9196932,None,None,1.0
75000,0.6441788,None,2.0992389,None,None,1.0
76000,0.63104606,None,2.0805929,None,None,1.0
77000,0.64493835,None,1.9966292,None,None,1.0
78000,0.6366174,None,1.9834796,None,None,1.0
79000,0.6417012,None,1.8797663,None,None,1.0
80000,0.63620245,None,1.820788,None,None,1.0
81000,0.64081216,None,1.8495543,None,None,1.0
82000,0.6360748,None,1.89958,None,None,1.0
83000,0.6312723,None,1.978355,None,None,1.0
84000,0.63465035,None,2.0494237,None,None,1.0
85000,0.6231896,None,2.1470835,None,None,1.0
86000,0.6283077,None,1.9876239,None,None,1.0
87000,0.6364534,None,1.923342,None,None,1.0
88000,0.6339828,None,1.9816715,None,None,1.0
89000,0.6245122,None,1.9479451,None,None,1.0
90000,0.6271713,None,1.9799681,None,None,1.0
91000,0.63313735,None,2.071423,None,None,1.0
92000,0.61972606,None,2.1121018,None,None,1.0
93000,0.6248567,None,2.1212432,None,None,1.0
94000,0.61755973,None,2.1003108,None,None,1.0
95000,0.61633766,None,2.0904574,None,None,1.0
96000,0.6132054,None,2.0382876,None,None,1.0
97000,0.6100552,None,1.9323148,None,None,1.0
98000,0.61134344,None,2.0395744,None,None,1.0
99000,0.61351204,None,2.1301968,None,None,1.0
100000,0.6221156,None,2.123561,None,None,1.0
101000,0.6099329,None,2.1576836,None,None,1.0
102000,0.61032593,None,2.1380663,None,None,1.0
103000,0.60594004,None,2.0974092,None,None,1.0
104000,0.6080711,None,2.0987449,None,None,1.0
105000,0.6104636,None,2.090448,None,None,1.0
106000,0.6007802,None,2.109503,None,None,1.0
107000,0.6070162,None,2.1124604,None,None,1.0
108000,0.60525185,None,2.055575,None,None,1.0
109000,0.6017891,None,2.1288419,None,None,1.0
110000,0.60497904,None,2.1377773,None,None,1.0
111000,0.6034947,None,2.0726748,None,None,1.0
112000,0.6052389,None,2.1268919,None,None,1.0
113000,0.611342,None,2.1060274,None,None,1.0
114000,0.61012954,None,2.034881,None,None,1.0
115000,0.5962224,None,2.0397,None,None,1.0
116000,0.5952294,None,2.1258945,None,None,1.0
117000,0.59736305,None,2.153874,None,None,1.0
118000,0.60617197,None,2.1310685,None,None,1.0
119000,0.59921664,None,2.0842285,None,None,1.0
120000,0.60540295,None,2.094355,None,None,1.0
121000,0.58786774,None,2.1683245,None,None,1.0
122000,0.5839968,None,2.178728,None,None,1.0
123000,0.60746914,None,2.1203904,None,None,1.0
124000,0.5901288,None,2.1010926,None,None,1.0
125000,0.5881368,None,2.0946581,None,None,1.0
126000,0.57295924,None,2.120071,None,None,1.0
127000,0.57514834,None,2.1682177,None,None,1.0
128000,0.5872673,None,2.2223868,None,None,1.0
129000,0.5790796,None,2.2341297,None,None,1.0
130000,0.586831,None,2.1792805,None,None,1.0
131000,0.58224267,None,2.0475163,None,None,1.0
132000,0.5898171,None,2.0346966,None,None,1.0
133000,0.585713,None,2.0895143,None,None,1.0
134000,0.58857495,None,2.145623,None,None,1.0
135000,0.57647175,None,2.2551877,None,None,1.0
136000,0.57450455,None,2.2076674,None,None,1.0
137000,0.58045805,None,2.1531467,None,None,1.0
138000,0.5872567,None,2.1285872,None,None,1.0
139000,0.5686309,None,2.1146765,None,None,1.0
140000,0.5844095,None,2.1010056,None,None,1.0
141000,0.59189457,None,2.1132183,None,None,1.0
142000,0.573595,None,2.184229,None,None,1.0
143000,0.57105637,None,2.2033176,None,None,1.0
144000,0.57060254,None,2.22001,None,None,1.0
145000,0.5763779,None,2.2544909,None,None,1.0
146000,0.56881475,None,2.2982857,None,None,1.0
147000,0.5648266,None,2.3247142,None,None,1.0
