Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
379000,2.4613888,0.68701553,None,None,None,1.0
380000,2.4596193,0.686424,None,None,None,1.0
381000,2.4271064,0.687836,5468.0,136.45499175786972,136.45499175786972,1.0
382000,2.415209,0.6864196,None,None,None,1.0
383000,2.4133525,0.6878345,None,None,None,1.0
384000,2.4199972,0.69080687,None,None,None,1.0
385000,2.424996,0.6872415,5569.0,139.23999170213938,139.23999170213938,1.0
386000,2.426005,0.68864757,None,None,None,1.0
387000,2.4155996,0.686836,None,None,None,1.0
388000,2.4087112,0.6871597,None,None,None,1.0
389000,2.4200218,0.68849385,None,None,None,1.0
390000,2.4313385,0.6886617,None,None,None,1.0
391000,2.4438486,0.68742454,None,None,None,1.0
392000,2.4407148,0.6841841,None,None,None,1.0
393000,2.438938,0.6883457,None,None,None,1.0
394000,2.439785,0.6880234,None,None,None,1.0
395000,2.4417238,0.68834716,None,None,None,1.0
396000,2.428106,0.6876945,None,None,None,1.0
397000,2.422587,0.686831,None,None,None,1.0
398000,2.4251375,0.68581504,None,None,None,1.0
399000,2.4231663,0.68482304,None,None,None,1.0
400000,2.432779,0.68778014,None,None,None,1.0
401000,2.4373717,0.6851948,None,None,None,1.0
402000,2.441566,0.6888534,None,None,None,1.0
403000,2.4357357,0.6816479,None,None,None,1.0
404000,2.4165003,0.68859357,None,None,None,1.0
405000,2.4184833,0.68682635,None,None,None,1.0
406000,2.4405146,0.68798614,None,None,None,1.0
407000,2.4459944,0.6862851,None,None,None,1.0
408000,2.4337697,0.68725747,None,None,None,1.0
409000,2.4332652,0.68523914,None,None,None,1.0
410000,2.4376361,0.6876711,7321.0,181.9449890255928,181.9449890255928,1.0
411000,2.4454885,0.68553555,None,None,None,1.0
412000,2.4524279,0.6863871,17637.0,438.5549736022949,438.5549736022949,1.0
413000,2.4442995,0.68299353,None,None,None,1.0
414000,2.4301555,0.6835673,7387.0,182.8549889922142,182.8549889922142,1.0
415000,2.430911,0.6869698,None,None,None,1.0
416000,2.438983,0.6859214,None,None,None,1.0
417000,2.4436288,0.6879712,None,None,None,1.0
418000,2.4388971,0.68881536,None,None,None,1.0
419000,2.4377387,0.68527156,None,None,None,1.0
420000,2.430231,0.6874169,None,None,None,1.0
