범죄대분류,범죄중분류,발생건수,지역
지능범죄,통화,11,경기 광명
지능범죄,문서인장,35,경기 광명
지능범죄,유가증권인지,2,경기 광명
지능범죄,사기,1295,경기 광명
지능범죄,횡령,385,경기 광명
지능범죄,배임,6,경기 광명
풍속범죄,성풍속범죄,46,경기 광명
풍속범죄,도박범죄,34,경기 광명
특별경제범죄,특별경제범죄,818,경기 광명
마약범죄,마약범죄,15,경기 광명
보건범죄,보건범죄,90,경기 광명
환경범죄,환경범죄,2,경기 광명
교통범죄,교통범죄,2740,경기 광명
노동범죄,노동범죄,6,경기 광명
안보범죄,안보범죄,1,경기 광명
선거범죄,선거범죄,3,경기 광명
병역범죄,병역범죄,61,경기 광명
기타범죄,기타범죄,1138,경기 광명
강력범죄,살인기수,4,경기 광주
강력범죄,살인미수등,8,경기 광주
강력범죄,강도,4,경기 광주
강력범죄,강간,25,경기 광주
강력범죄,유사강간,3,경기 광주
강력범죄,강제추행,49,경기 광주
강력범죄,기타강간강제추행등,2,경기 광주
강력범죄,방화,6,경기 광주
절도범죄,절도,1072,경기 광주
폭력범죄,상해,237,경기 광주
폭력범죄,폭행,823,경기 광주
폭력범죄,체포감금,5,경기 광주
폭력범죄,협박,61,경기 광주
폭력범죄,약취유인,2,경기 광주
폭력범죄,폭력행위등,220,경기 광주
폭력범죄,공갈,17,경기 광주
폭력범죄,손괴,363,경기 광주
지능범죄,직무유기,2,경기 광주
지능범죄,직권남용,1,경기 광주
지능범죄,증수뢰,1,경기 광주
지능범죄,통화,10,경기 광주
지능범죄,문서인장,62,경기 광주
지능범죄,유가증권인지,4,경기 광주
지능범죄,사기,1355,경기 광주
지능범죄,횡령,267,경기 광주
지능범죄,배임,40,경기 광주
풍속범죄,성풍속범죄,38,경기 광주
풍속범죄,도박범죄,42,경기 광주
특별경제범죄,특별경제범죄,360,경기 광주
마약범죄,마약범죄,22,경기 광주
보건범죄,보건범죄,87,경기 광주
환경범죄,환경범죄,52,경기 광주
교통범죄,교통범죄,3660,경기 광주
노동범죄,노동범죄,13,경기 광주
안보범죄,안보범죄,0,경기 광주
선거범죄,선거범죄,0,경기 광주
병역범죄,병역범죄,170,경기 광주
기타범죄,기타범죄,1135,경기 광주
강력범죄,살인기수,0,경기 구리
강력범죄,살인미수등,3,경기 구리
강력범죄,강도,6,경기 구리
강력범죄,강간,22,경기 구리
강력범죄,유사강간,1,경기 구리
강력범죄,강제추행,73,경기 구리
강력범죄,기타강간강제추행등,3,경기 구리
강력범죄,방화,9,경기 구리
절도범죄,절도,1042,경기 구리
폭력범죄,상해,181,경기 구리
폭력범죄,폭행,893,경기 구리
폭력범죄,체포감금,4,경기 구리
폭력범죄,협박,36,경기 구리
폭력범죄,약취유인,2,경기 구리
폭력범죄,폭력행위등,183,경기 구리
폭력범죄,공갈,17,경기 구리
폭력범죄,손괴,258,경기 구리
지능범죄,직무유기,2,경기 구리
지능범죄,직권남용,0,경기 구리
지능범죄,증수뢰,2,경기 구리
지능범죄,통화,9,경기 구리
지능범죄,문서인장,53,경기 구리
지능범죄,유가증권인지,4,경기 구리
지능범죄,사기,1229,경기 구리
지능범죄,횡령,191,경기 구리
지능범죄,배임,11,경기 구리
풍속범죄,성풍속범죄,104,경기 구리
풍속범죄,도박범죄,22,경기 구리
특별경제범죄,특별경제범죄,299,경기 구리
마약범죄,마약범죄,16,경기 구리
보건범죄,보건범죄,62,경기 구리
환경범죄,환경범죄,9,경기 구리
교통범죄,교통범죄,2151,경기 구리
노동범죄,노동범죄,2,경기 구리
안보범죄,안보범죄,0,경기 구리
선거범죄,선거범죄,2,경기 구리
병역범죄,병역범죄,71,경기 구리
기타범죄,기타범죄,699,경기 구리
강력범죄,살인기수,1,경기 군포
강력범죄,살인미수등,1,경기 군포
강력범죄,강도,5,경기 군포
강력범죄,강간,26,경기 군포
강력범죄,유사강간,2,경기 군포
강력범죄,강제추행,67,경기 군포
강력범죄,기타강간강제추행등,0,경기 군포
강력범죄,방화,7,경기 군포
절도범죄,절도,944,경기 군포
폭력범죄,상해,142,경기 군포
폭력범죄,폭행,826,경기 군포
폭력범죄,체포감금,2,경기 군포
폭력범죄,협박,43,경기 군포
폭력범죄,약취유인,0,경기 군포
폭력범죄,폭력행위등,131,경기 군포
폭력범죄,공갈,5,경기 군포
폭력범죄,손괴,327,경기 군포
지능범죄,직무유기,0,경기 군포
지능범죄,직권남용,2,경기 군포
지능범죄,증수뢰,0,경기 군포
지능범죄,통화,3,경기 군포
지능범죄,문서인장,70,경기 군포
지능범죄,유가증권인지,1,경기 군포
지능범죄,사기,942,경기 군포
지능범죄,횡령,265,경기 군포
